CSE/s3,EEE/s3,ECE/s3,MEE/s3,RAE/s3
23CCE201,23MAT224,23ECE201,23MAT222,23MAT221
23CCE202,23MEE206,23ECE202,23MEE201,23CSE207
23CCE203,23EEE201,23ECE203,23MEE202,23MEE207
23CCE204,23EEE202,23ECE204,23MEE203,23MEE208
23MAT210,23EEE203,23ECE205,23MEE204,23MEE209
23CCE281,23EEE204,23ECE281,23MEE205,23EEE206
23CCE282,23EEE205,23ECE282,23MEE281,23ECE207
23CCE283,23EEE281,23ECE283,23MEE282,23LAW300
23CHY109,23LSE201,23CHY109,23LSE201,23LSE201
23ENV300,,23ENV300,23ENV300,
23LSE201,,23LSE201,,
